//以下全部出自网络和大佬资源，如有冒犯请联系删除。[所有内容仅供学习使用，请勿用于违法用途]
//


💝中国港澳👉天天,#genre#

凤凰卫视中文台,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.flv
凤凰卫视资讯台,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv
凤凰卫视中文台,http://kuanglong.vicp.hk:2121/udp/239.93.16.31:8012
凤凰卫视资讯台,http://kuanglong.vicp.hk:2121/udp/239.93.16.118:8708
凤凰卫视中文台,http://43.141.130.33/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.flv
凤凰卫视资讯台,http://43.141.130.33/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv
凤凰卫视资讯台,http://113.64.145.195:8081/hls/36/index.m3u8
凤凰卫视中文台,http://113.64.145.195:8081/hls/37/index.m3u8
凤凰卫视资讯台,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰卫视资讯台,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰卫视中文台,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰卫视资讯台,http://61.221.215.25:8800/hls/47/index.m3u8
TVB无线新闻台,http://live.cooltv.top/tv/tvb.php?id=0&hq
TVB无线新闻台,http://live.cooltv.top/tv/tvb.php?id=2
凤凰卫视资讯台,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰卫视中文台,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰卫视资讯台,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰卫视资讯台,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰卫视中文台,http://112.19.171.156:9999/udp/239.93.0.162:2192
凤凰卫视资讯台,http://43.132.147.111:5532/youtube.php?id=hkfenghuangzixun&p=123456admin 
TVB无线新闻台,http://live.cooltv.top/tv/tvb.php?id=2&hq
TVB财经体育资讯台,http://mtw.so/5Vma8v
凤凰卫视资讯台,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰中文频道,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文频道,http://43.141.130.51/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.flv
凤凰中文频道,http://www.cdtriot.cn:9999/udp/239.93.0.162:2192
凤凰中文频道,http://112.19.171.156:9999/udp/239.93.0.162:2192
凤凰中文频道,http://118.114.96.20:8889/rtp/239.93.1.9:2192
凤凰中文频道,http://118.114.96.20:8889/udp/239.93.0.162:2192
凤凰资讯高清,http://113.64.145.231:8081/hls/36/index.m3u8
凤凰卫视高清,http://113.64.145.231:8081/hls/37/index.m3u8
凤凰香港高清,http://113.64.145.231:8081/hls/38/index.m3u8
凤凰资讯频道,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯频道,http://43.141.130.51/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv
凤凰资讯频道,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰资讯频道,http://www.cdtriot.cn:9999/udp/239.93.0.118:2191
凤凰资讯频道,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰资讯频道,http://118.114.96.20:8889/rtp/239.93.0.118:2191?
凤凰资讯频道,http://118.114.96.20:8889/udp/239.93.1.4:2191?

香港無綫新聞,http://208.110.73.234:8080/live/380/hls.m3u8
香港無綫新聞,http://123.202.245.120:8008/bysid/83
